Array Size: 1000, Search Value: 1987, Comparisons: 9, Time: 9078ms, Found: 1
Array Size: 1000, Search Value: 1985, Comparisons: 9, Time: 5887ms, Found: 1
Array Size: 1000, Search Value: 1987, Comparisons: 7, Time: 6048ms, Found: 1
Array Size: 1000, Search Value: 1979, Comparisons: 8, Time: 5664ms, Found: 1
Array Size: 1000, Search Value: 1990, Comparisons: 9, Time: 4984ms, Found: 1
Array Size: 1000, Search Value: 1977, Comparisons: 9, Time: 11017ms, Found: 1
Array Size: 1000, Search Value: 1983, Comparisons: 9, Time: 1609ms, Found: 1
Array Size: 1000, Search Value: 1989, Comparisons: 9, Time: 1960ms, Found: 1
Array Size: 1000, Search Value: 1986, Comparisons: 9, Time: 2348ms, Found: 1
Array Size: 1000, Search Value: 1982, Comparisons: 7, Time: 2925ms, Found: 1
Array Size: 1000, Search Value: 1986, Comparisons: 9, Time: 1895ms, Found: 1
Array Size: 1000, Search Value: 1977, Comparisons: 9, Time: 1969ms, Found: 1
Array Size: 1000, Search Value: 1986, Comparisons: 9, Time: 6139ms, Found: 1
Array Size: 1000, Search Value: 1981, Comparisons: 9, Time: 1752ms, Found: 1
Array Size: 1000, Search Value: 1978, Comparisons: 9, Time: 1236ms, Found: 1
Array Size: 1000, Search Value: 1988, Comparisons: 9, Time: 4381ms, Found: 1
Array Size: 1000, Search Value: 1977, Comparisons: 9, Time: 1735ms, Found: 1
Array Size: 1000, Search Value: 1985, Comparisons: 9, Time: 1659ms, Found: 1
Array Size: 1000, Search Value: 1988, Comparisons: 9, Time: 1164ms, Found: 1
Array Size: 1000, Search Value: 1973, Comparisons: 9, Time: 2810ms, Found: 1
Array Size: 1000, Search Value: 1973, Comparisons: 9, Time: 1367ms, Found: 1
Array Size: 1000, Search Value: 1978, Comparisons: 9, Time: 1297ms, Found: 1
Array Size: 1000, Search Value: 1973, Comparisons: 9, Time: 1576ms, Found: 1
Array Size: 1000, Search Value: 1987, Comparisons: 9, Time: 2173ms, Found: 1
Array Size: 1000, Search Value: 1990, Comparisons: 9, Time: 2175ms, Found: 1
Array Size: 1000, Search Value: 1982, Comparisons: 9, Time: 2136ms, Found: 1
Array Size: 1000, Search Value: 1990, Comparisons: 7, Time: 3589ms, Found: 1
Array Size: 1000, Search Value: 1985, Comparisons: 9, Time: 1196ms, Found: 1
Array Size: 1000, Search Value: 1980, Comparisons: 9, Time: 1755ms, Found: 1
Array Size: 1000, Search Value: 1975, Comparisons: 9, Time: 1012ms, Found: 1
Array Size: 1000, Search Value: 1984, Comparisons: 9, Time: 1999ms, Found: 1
Array Size: 1000, Search Value: 1980, Comparisons: 9, Time: 1436ms, Found: 1
Array Size: 1000, Search Value: 1978, Comparisons: 9, Time: 1931ms, Found: 1
Array Size: 1000, Search Value: 1986, Comparisons: 9, Time: 959ms, Found: 1
Array Size: 1000, Search Value: 1985, Comparisons: 9, Time: 1046ms, Found: 1
Array Size: 1000, Search Value: 1986, Comparisons: 9, Time: 1066ms, Found: 1
Array Size: 1000, Search Value: 1974, Comparisons: 9, Time: 1693ms, Found: 1
Array Size: 1000, Search Value: 1968, Comparisons: 9, Time: 1010ms, Found: 1
