Array Size: 1000, Search Value: 960, Comparisons: 1, Time: 4192ms, Found: 1
Array Size: 1000, Search Value: 989, Comparisons: 9, Time: 5125ms, Found: 1
Array Size: 1000, Search Value: 995, Comparisons: 9, Time: 7069ms, Found: 1
Array Size: 1000, Search Value: 1023, Comparisons: 9, Time: 5884ms, Found: 1
Array Size: 1000, Search Value: 990, Comparisons: 9, Time: 6086ms, Found: 1
Array Size: 1000, Search Value: 1031, Comparisons: 1, Time: 2164ms, Found: 1
Array Size: 1000, Search Value: 1041, Comparisons: 9, Time: 19600ms, Found: 1
Array Size: 1000, Search Value: 1019, Comparisons: 1, Time: 1560ms, Found: 1
Array Size: 1000, Search Value: 1006, Comparisons: 9, Time: 2102ms, Found: 1
Array Size: 1000, Search Value: 945, Comparisons: 9, Time: 2045ms, Found: 1
Array Size: 1000, Search Value: 998, Comparisons: 8, Time: 3136ms, Found: 1
Array Size: 1000, Search Value: 991, Comparisons: 9, Time: 3400ms, Found: 1
Array Size: 1000, Search Value: 1033, Comparisons: 9, Time: 1683ms, Found: 1
Array Size: 1000, Search Value: 1056, Comparisons: 9, Time: 1536ms, Found: 1
Array Size: 1000, Search Value: 990, Comparisons: 9, Time: 1000ms, Found: 1
Array Size: 1000, Search Value: 1003, Comparisons: 9, Time: 1808ms, Found: 1
Array Size: 1000, Search Value: 970, Comparisons: 1, Time: 1210ms, Found: 1
Array Size: 1000, Search Value: 966, Comparisons: 1, Time: 2332ms, Found: 1
Array Size: 1000, Search Value: 1009, Comparisons: 1, Time: 904ms, Found: 1
Array Size: 1000, Search Value: 983, Comparisons: 9, Time: 1494ms, Found: 1
Array Size: 1000, Search Value: 1008, Comparisons: 9, Time: 1243ms, Found: 1
Array Size: 1000, Search Value: 1010, Comparisons: 9, Time: 1534ms, Found: 1
Array Size: 1000, Search Value: 959, Comparisons: 9, Time: 2798ms, Found: 1
Array Size: 1000, Search Value: 1012, Comparisons: 9, Time: 2718ms, Found: 1
Array Size: 1000, Search Value: 1022, Comparisons: 1, Time: 1822ms, Found: 1
Array Size: 1000, Search Value: 991, Comparisons: 1, Time: 48419ms, Found: 1
Array Size: 1000, Search Value: 983, Comparisons: 9, Time: 3340ms, Found: 1
Array Size: 1000, Search Value: 1007, Comparisons: 9, Time: 1176ms, Found: 1
Array Size: 1000, Search Value: 992, Comparisons: 1, Time: 1255ms, Found: 1
Array Size: 1000, Search Value: 981, Comparisons: 1, Time: 804ms, Found: 1
Array Size: 1000, Search Value: 1043, Comparisons: 9, Time: 2833ms, Found: 1
Array Size: 1000, Search Value: 989, Comparisons: 9, Time: 1170ms, Found: 1
Array Size: 1000, Search Value: 979, Comparisons: 9, Time: 1169ms, Found: 1
Array Size: 1000, Search Value: 988, Comparisons: 9, Time: 992ms, Found: 1
Array Size: 1000, Search Value: 1019, Comparisons: 1, Time: 1082ms, Found: 1
Array Size: 1000, Search Value: 1038, Comparisons: 9, Time: 1093ms, Found: 1
Array Size: 1000, Search Value: 1015, Comparisons: 9, Time: 1703ms, Found: 1
Array Size: 1000, Search Value: 1041, Comparisons: 9, Time: 1131ms, Found: 1
Array Size: 1000, Search Value: 974, Comparisons: 9, Time: 1046ms, Found: 1
Array Size: 1000, Search Value: 999, Comparisons: 9, Time: 889ms, Found: 1
Array Size: 1000, Search Value: 1007, Comparisons: 9, Time: 945ms, Found: 1
Array Size: 1000, Search Value: 1030, Comparisons: 9, Time: 979ms, Found: 1
Array Size: 1000, Search Value: 981, Comparisons: 1, Time: 763ms, Found: 1
Array Size: 1000, Search Value: 978, Comparisons: 9, Time: 1031ms, Found: 1
Array Size: 1000, Search Value: 1011, Comparisons: 9, Time: 1243ms, Found: 1
Array Size: 1000, Search Value: 1001, Comparisons: 9, Time: 974ms, Found: 1
Array Size: 1000, Search Value: 1015, Comparisons: 9, Time: 1266ms, Found: 1
Array Size: 1000, Search Value: 961, Comparisons: 1, Time: 853ms, Found: 1
