Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 9532ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 4888ms, Found: 0
Array Size: 1000, Search Value: 3, Comparisons: 9, Time: 5543ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 5611ms, Found: 0
Array Size: 1000, Search Value: 4, Comparisons: 9, Time: 9443ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 8641ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 2274ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 2234ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1828ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 2109ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1714ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 3474ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 3000ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 1511ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1471ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1954ms, Found: 0
Array Size: 1000, Search Value: 6, Comparisons: 9, Time: 2761ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1527ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1410ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1980ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1456ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 2262ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 1431ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1756ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 1268ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 2073ms, Found: 0
Array Size: 1000, Search Value: 9, Comparisons: 9, Time: 1711ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1036ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 1311ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1205ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 8091ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1365ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1448ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 993ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 949ms, Found: 0
Array Size: 1000, Search Value: 3, Comparisons: 9, Time: 992ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 1594ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1240ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1025ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 918ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 866ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 879ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1244ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 1243ms, Found: 0
Array Size: 1000, Search Value: 5, Comparisons: 9, Time: 1028ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 947ms, Found: 0
Array Size: 1000, Search Value: 1, Comparisons: 9, Time: 1309ms, Found: 0
Array Size: 1000, Search Value: 0, Comparisons: 9, Time: 2273ms, Found: 0
Array Size: 1000, Search Value: -1, Comparisons: 9, Time: 1256ms, Found: 0
Array Size: 1000, Search Value: 2, Comparisons: 9, Time: 1079ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 1275ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 1433ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 1163ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 1258ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 1012ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 1067ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 1213ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 1068ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 863ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 939ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 747ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 1786ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 592ms, Found: 0
Array Size: 2000, Search Value: 0, Comparisons: 10, Time: 908ms, Found: 0
Array Size: 2000, Search Value: 4, Comparisons: 10, Time: 819ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 790ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 720ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 511ms, Found: 0
Array Size: 2000, Search Value: 0, Comparisons: 10, Time: 874ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 632ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 648ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 895ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 628ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 625ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 841ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 4972ms, Found: 0
Array Size: 2000, Search Value: 0, Comparisons: 10, Time: 596ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 993ms, Found: 0
Array Size: 2000, Search Value: 4, Comparisons: 10, Time: 898ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 1113ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 971ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 947ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 829ms, Found: 0
Array Size: 2000, Search Value: 0, Comparisons: 10, Time: 1375ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 1302ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 740ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 517ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 578ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 867ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 826ms, Found: 0
Array Size: 2000, Search Value: 0, Comparisons: 10, Time: 901ms, Found: 0
Array Size: 2000, Search Value: 1, Comparisons: 10, Time: 925ms, Found: 0
Array Size: 2000, Search Value: 4, Comparisons: 10, Time: 970ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 938ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 924ms, Found: 0
Array Size: 2000, Search Value: 3, Comparisons: 10, Time: 506ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 563ms, Found: 0
Array Size: 2000, Search Value: -1, Comparisons: 10, Time: 849ms, Found: 0
Array Size: 2000, Search Value: 2, Comparisons: 10, Time: 682ms, Found: 0
Array Size: 2000, Search Value: 4, Comparisons: 10, Time: 496ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 869ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 1203ms, Found: 0
Array Size: 3000, Search Value: 3, Comparisons: 11, Time: 1201ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 720ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 512ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 1216ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 1112ms, Found: 0
Array Size: 3000, Search Value: 2, Comparisons: 11, Time: 922ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 533ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 711ms, Found: 0
Array Size: 3000, Search Value: 3, Comparisons: 11, Time: 758ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 673ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 1787ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 1259ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 656ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 1021ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 644ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 1004ms, Found: 0
Array Size: 3000, Search Value: 4, Comparisons: 11, Time: 665ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 584ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 376ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 264ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 373ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 329ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 210ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 796ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 442ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 468ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 500ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 349ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 399ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 281ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 381ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 977ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 283ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 308ms, Found: 0
Array Size: 3000, Search Value: 0, Comparisons: 11, Time: 253ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 441ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 362ms, Found: 0
Array Size: 3000, Search Value: 1, Comparisons: 11, Time: 317ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 294ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 286ms, Found: 0
Array Size: 3000, Search Value: -1, Comparisons: 11, Time: 5697ms, Found: 0
