Array Size: 1000, Search Value: 1175, Comparisons: 9, Time: 9413ms, Found: 1
Array Size: 1000, Search Value: 1663, Comparisons: 8, Time: 5717ms, Found: 1
Array Size: 1000, Search Value: 97, Comparisons: 10, Time: 5756ms, Found: 1
Array Size: 1000, Search Value: 329, Comparisons: 9, Time: 5644ms, Found: 1
Array Size: 1000, Search Value: 332, Comparisons: 8, Time: 6771ms, Found: 1
Array Size: 1000, Search Value: 1855, Comparisons: 7, Time: 8619ms, Found: 1
Array Size: 1000, Search Value: 1373, Comparisons: 9, Time: 2805ms, Found: 1
Array Size: 1000, Search Value: 603, Comparisons: 8, Time: 3070ms, Found: 1
Array Size: 1000, Search Value: 1378, Comparisons: 8, Time: 2983ms, Found: 1
Array Size: 1000, Search Value: 1579, Comparisons: 8, Time: 1657ms, Found: 1
Array Size: 1000, Search Value: 1272, Comparisons: 10, Time: 1975ms, Found: 1
Array Size: 1000, Search Value: 1969, Comparisons: 9, Time: 1808ms, Found: 1
Array Size: 1000, Search Value: 1012, Comparisons: 9, Time: 2754ms, Found: 1
Array Size: 1000, Search Value: 892, Comparisons: 9, Time: 1490ms, Found: 1
Array Size: 1000, Search Value: 1231, Comparisons: 8, Time: 2812ms, Found: 1
Array Size: 1000, Search Value: 689, Comparisons: 9, Time: 3323ms, Found: 1
Array Size: 1000, Search Value: 1089, Comparisons: 9, Time: 1738ms, Found: 1
Array Size: 1000, Search Value: 820, Comparisons: 10, Time: 1510ms, Found: 1
Array Size: 1000, Search Value: 1598, Comparisons: 10, Time: 1845ms, Found: 1
Array Size: 1000, Search Value: 565, Comparisons: 7, Time: 1246ms, Found: 1
Array Size: 1000, Search Value: 1673, Comparisons: 10, Time: 1594ms, Found: 1
Array Size: 1000, Search Value: 607, Comparisons: 10, Time: 2562ms, Found: 1
Array Size: 1000, Search Value: 29, Comparisons: 8, Time: 1121ms, Found: 1
Array Size: 1000, Search Value: 147, Comparisons: 9, Time: 1224ms, Found: 1
Array Size: 1000, Search Value: 672, Comparisons: 9, Time: 1527ms, Found: 1
Array Size: 1000, Search Value: 1975, Comparisons: 9, Time: 1520ms, Found: 1
Array Size: 1000, Search Value: 1608, Comparisons: 4, Time: 1493ms, Found: 1
Array Size: 1000, Search Value: 1574, Comparisons: 9, Time: 2799ms, Found: 1
Array Size: 1000, Search Value: 1314, Comparisons: 9, Time: 1743ms, Found: 1
Array Size: 1000, Search Value: 1858, Comparisons: 9, Time: 1080ms, Found: 1
Array Size: 1000, Search Value: 1302, Comparisons: 9, Time: 1337ms, Found: 1
Array Size: 1000, Search Value: 425, Comparisons: 8, Time: 1448ms, Found: 1
Array Size: 1000, Search Value: 1097, Comparisons: 9, Time: 1092ms, Found: 1
Array Size: 1000, Search Value: 1418, Comparisons: 10, Time: 1045ms, Found: 1
Array Size: 1000, Search Value: 55, Comparisons: 7, Time: 971ms, Found: 1
Array Size: 1000, Search Value: 1116, Comparisons: 9, Time: 1533ms, Found: 1
Array Size: 1000, Search Value: 1713, Comparisons: 8, Time: 1177ms, Found: 1
Array Size: 1000, Search Value: 413, Comparisons: 7, Time: 988ms, Found: 1
Array Size: 1000, Search Value: 594, Comparisons: 10, Time: 1378ms, Found: 1
Array Size: 1000, Search Value: 990, Comparisons: 10, Time: 1244ms, Found: 1
Array Size: 1000, Search Value: 497, Comparisons: 7, Time: 1264ms, Found: 1
Array Size: 1000, Search Value: 612, Comparisons: 9, Time: 1050ms, Found: 1
Array Size: 1000, Search Value: 286, Comparisons: 10, Time: 1282ms, Found: 1
Array Size: 1000, Search Value: 1112, Comparisons: 9, Time: 1289ms, Found: 1
Array Size: 1000, Search Value: 1363, Comparisons: 8, Time: 1324ms, Found: 1
Array Size: 1000, Search Value: 1866, Comparisons: 10, Time: 1197ms, Found: 1
Array Size: 1000, Search Value: 1922, Comparisons: 10, Time: 982ms, Found: 1
Array Size: 1000, Search Value: 876, Comparisons: 8, Time: 1510ms, Found: 1
Array Size: 1000, Search Value: 1228, Comparisons: 3, Time: 758ms, Found: 1
