Array Size: 1000, Search Value: 26, Comparisons: 8, Time: 12184ms, Found: 1
Array Size: 1000, Search Value: 21, Comparisons: 8, Time: 8972ms, Found: 1
Array Size: 1000, Search Value: 31, Comparisons: 8, Time: 6500ms, Found: 1
Array Size: 1000, Search Value: 22, Comparisons: 8, Time: 16310ms, Found: 1
Array Size: 1000, Search Value: 19, Comparisons: 8, Time: 13942ms, Found: 1
Array Size: 1000, Search Value: 19, Comparisons: 8, Time: 6251ms, Found: 1
Array Size: 1000, Search Value: 17, Comparisons: 8, Time: 740318ms, Found: 1
Array Size: 1000, Search Value: 18, Comparisons: 8, Time: 1989ms, Found: 1
Array Size: 1000, Search Value: 24, Comparisons: 8, Time: 2310ms, Found: 1
Array Size: 1000, Search Value: 14, Comparisons: 8, Time: 2635ms, Found: 1
Array Size: 1000, Search Value: 17, Comparisons: 8, Time: 2333ms, Found: 1
Array Size: 1000, Search Value: 25, Comparisons: 8, Time: 2181ms, Found: 1
Array Size: 1000, Search Value: 26, Comparisons: 8, Time: 2346ms, Found: 1
Array Size: 1000, Search Value: 33, Comparisons: 8, Time: 2907ms, Found: 1
Array Size: 1000, Search Value: 16, Comparisons: 8, Time: 1876ms, Found: 1
Array Size: 1000, Search Value: 11, Comparisons: 8, Time: 2083ms, Found: 1
Array Size: 1000, Search Value: 38, Comparisons: 8, Time: 2401ms, Found: 1
Array Size: 1000, Search Value: 11, Comparisons: 8, Time: 2173ms, Found: 1
Array Size: 1000, Search Value: 27, Comparisons: 8, Time: 1691ms, Found: 1
Array Size: 1000, Search Value: 26, Comparisons: 8, Time: 2641ms, Found: 1
Array Size: 1000, Search Value: 18, Comparisons: 8, Time: 1547ms, Found: 1
Array Size: 1000, Search Value: 21, Comparisons: 8, Time: 2320ms, Found: 1
Array Size: 1000, Search Value: 14, Comparisons: 8, Time: 2282ms, Found: 1
Array Size: 1000, Search Value: 17, Comparisons: 8, Time: 1866ms, Found: 1
Array Size: 1000, Search Value: 23, Comparisons: 8, Time: 2740ms, Found: 1
Array Size: 1000, Search Value: 26, Comparisons: 8, Time: 2238ms, Found: 1
Array Size: 1000, Search Value: 24, Comparisons: 8, Time: 1125ms, Found: 1
Array Size: 1000, Search Value: 15, Comparisons: 8, Time: 1635ms, Found: 1
Array Size: 1000, Search Value: 19, Comparisons: 8, Time: 1647ms, Found: 1
Array Size: 1000, Search Value: 29, Comparisons: 8, Time: 1271ms, Found: 1
